ID,Escola,Endereco_Escola,Serie,Turma,Nome_Aluno,Genero,Idade_Aluno,CPF_Aluno,Telefone_Aluno,Endereco_Completo,Municipio,UF,CEP,Deficiencia,Nome_Responsavel,Parentesco,CPF_Responsavel,Telefone_Responsavel,Protocolo,Status_Matricula,Renda_Familiar,Tem_Irmaos,Numero_Irmaos,Idades_Irmaos,Trabalha_Fora,Horas_Trabalho_Semana,Tipo_Trabalho,Tempo_Deslocamento_Min,Meio_Transporte,Acesso_Internet,Tem_Computador,Apoio_Familiar_Estudos,Faz_Refeicao_Escola,Matematica_1Bim,Matematica_2Bim,Matematica_3Bim,Matematica_4Bim,Media_Matematica,Portugues_1Bim,Portugues_2Bim,Portugues_3Bim,Portugues_4Bim,Media_Portugues,Media_Geral,Frequencia_Percentual,Cor_Raca,Area_Climatica,Impacto_Seca,Area_Risco_Ambiental,Seguranca_Trajeto,Refeicoes_Diarias,Seguranca_Alimentar,Ambiente_Familiar,Responsabilidades_Casa
11,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Laura Barbosa Barbosa,F,15,896.938.267-49,(83) 98221-1420,"Rua Principal, 204 - Centro, Solânea - PB, 58706-807",Solânea,PB,58706-807,Nenhuma,Rita Correia Barbosa,Avó,924.223.915-82,(83) 99602-1672,2025658623,Contemplação direta,1820,Sim,3,"1, 14, 16",Sim,26,Informal,115,Transporte escolar,Apenas celular,Não,Baixo,Sim,0.8,0.3,0.0,0.0,0.0,3.1,2.6,2.0,1.5,2.4,0.9806239993834868,70,Preta,Interior Semiárido,Não Afetado,Não,Pouco Seguro,3,Segura,Tensão Moderada,Muitas
12,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Giovanna Moreira Barbosa,F,16,669.110.629-34,(83) 98175-4954,"Rua Getúlio Vargas, 354, Bloco 2 - Cepilho, Areia - PB, 58558-911",Areia,PB,58558-911,Nenhuma,Gustavo Dias Pereira,Avó,413.779.695-57,(83) 98969-9698,2025546173,Lista de espera,3949,Sim,4,"9, 10, 9, 8",Sim,21,Serviços domésticos,17,Ônibus,Sim (banda larga),Não,Baixo,Sim,5.3,5.1,5.2,4.8,4.9,3.1,2.4,3.2,2.8,2.8,4.0693780047611,82,Branca,Interior Semiárido,Muito Afetado,Não,Inseguro,4,Segura,Tranquilo,Moderadas
13,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Letícia Almeida Rocha,F,16,288.152.358-71,(83) 98233-2070,"Rua das Trincheiras, 296, Apt 101 - Castelo Branco, João Pessoa - PB, 58252-930",João Pessoa,PB,58252-930,Dislexia,Mateus Souza Araújo,Tia,882.526.720-86,(83) 99619-4697,2025498855,Contemplação direta,1500,Não,0,,Não,0,,23,Ônibus,Apenas celular,Sim,Baixo,Sim,6.1,6.6,7.2,7.7,6.9,4.3,4.8,5.4,5.9,5.2,6.010734751185177,90,Branca,Urbano Litorâneo,Levemente Afetado,Não,Seguro,3,Segura,Tensão Moderada,Moderadas
14,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Ricardo Souza Araújo,M,15,763.252.372-28,(83) 98146-1977,"Av. Cruz das Armas, 305, Bloco 2 - Alto do Mateus, João Pessoa - PB, 58227-579",João Pessoa,PB,58227-579,Nenhuma,Amanda Araújo Almeida,Tio,548.182.712-15,(83) 99821-8078,2025437978,Contemplação direta,800,Sim,5,"19, 1, 9, 19, 2",Não,0,,14,A pé,Apenas celular,Não,Baixo,Sim,1.8,1.3,0.7,0.2,1.0,0.7,0.2,0.0,0.0,0.0,0.735839612996347,70,Preta,Urbano Litorâneo,Não Afetado,Risco Médio,Seguro,2,Leve Insegurança,Tensão Moderada,Moderadas
15,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Vinicius Marques Araújo,M,16,523.155.292-76,(83) 98740-9167,"Rua São Sebastião, 137, Casa A - São Sebastião, Alagoa Grande - PB, 58548-815",Alagoa Grande,PB,58548-815,Nenhuma,Marcelo Ferreira Gomes,Mãe,664.114.665-62,(83) 98190-4681,2025583863,Lista de espera,2000,Sim,3,"17, 9, 14",Não,0,,115,Carona,Sim (banda larga),Não,Médio,Não,0.0,0.0,0.3,0.2,0.0,0.8,0.8,1.0,0.5,0.8,0.02723263506432072,71,Preta,Agreste,Não Afetado,Não,Inseguro,3,Leve Insegurança,Tranquilo,Moderadas
16,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Rita Alves Dias,F,15,685.492.339-62,(83) 98089-6213,"Rua Assis Chateaubriand, 340, Bloco 2 - Centro, Areia - PB, 58137-229",Areia,PB,58137-229,Dislexia,Rita Souza Marques,Mãe,965.550.202-77,(83) 99864-8486,2025857537,Contemplação direta,2500,Não,0,,Sim,40,Serviços domésticos,116,Van escolar,Apenas celular,Não,Alto,Sim,4.7,4.2,3.6,3.1,3.9,1.3,0.8,0.2,0.0,0.6,1.96862917855433,70,Preta,Interior Semiárido,Levemente Afetado,Não,Pouco Seguro,4,Segura,Tranquilo,Poucas
17,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Leonardo Gonçalves Santos,M,16,467.483.541-28,(83) 98500-9702,"Rua Rodrigues de Aquino, 88 - Cruz das Armas, João Pessoa - PB, 58724-991",João Pessoa,PB,58724-991,Nenhuma,Carlos Nunes Melo,Avó,246.337.572-91,(83) 98520-8529,2025799233,Contemplação direta,748,Não,0,,Não,0,,124,A pé,Não,Não,Baixo,Sim,8.2,7.7,7.1,6.6,7.4,7.0,6.5,5.9,5.4,6.3,7.279569687406421,70,Parda,Urbano Litorâneo,Levemente Afetado,Risco Baixo,Seguro,1,Grave Insegurança,Tranquilo,Poucas
18,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Claudia Moreira Moreira,F,16,894.918.335-87,(83) 99642-6772,"Rua Rodrigues de Aquino, 318, Apt 101 - Alto do Mateus, João Pessoa - PB, 58743-199",João Pessoa,PB,58743-199,Nenhuma,Sandra Rocha Santos,Avó,693.473.849-26,(83) 98184-5835,2025883790,Contemplação direta,1082,Não,0,,Não,0,,93,Ônibus,Não,Não,Baixo,Sim,0.4,0.3,0.4,1.0,0.5,0.1,0.9,0.6,0.5,0.6,0.23110930819810324,70,Parda,Urbano Litorâneo,Levemente Afetado,Não,Seguro,1,Grave Insegurança,Conflituoso,Poucas
19,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Fernando Ribeiro Correia,M,16,698.490.942-91,(83) 99925-7086,"Rua Rodrigues de Aquino, 242 - Castelo Branco, João Pessoa - PB, 58674-435",João Pessoa,PB,58674-435,Nenhuma,Thiago Lopes Rocha,Mãe,817.409.764-62,(83) 98238-3290,2025139019,Contemplação direta,1500,Sim,5,"5, 13, 15, 12, 18",Sim,38,Agricultura,24,Ônibus,Apenas celular,Não,Baixo,Não,0.9,0.8,1.1,1.4,1.0,0.0,0.1,0.1,0.2,0.0,0.3123806447014139,70,Parda,Urbano Litorâneo,Levemente Afetado,Risco Baixo,Pouco Seguro,3,Leve Insegurança,Tensão Moderada,Moderadas
20,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Pedro Gonçalves Costa,M,15,228.905.678-36,(83) 98140-4394,"Av. Floriano Peixoto, 397 - Centro, Campina Grande - PB, 58102-383",Campina Grande,PB,58102-383,Autismo leve,Bruno Lima Gonçalves,Avó,278.212.776-13,(83) 98269-1243,2025928358,Aguardando vaga,2000,Sim,3,"2, 5, 14",Não,0,,137,Ônibus,Apenas celular,Não,Médio,Sim,6.7,6.2,5.6,5.1,5.9,9.0,8.5,7.9,7.4,8.3,6.798644053771417,71,Preta,Urbano,Levemente Afetado,Não,Inseguro,3,Segura,Tranquilo,Moderadas
21,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Natália Cardoso Melo,F,16,490.711.643-47,(83) 98929-9282,"Rua Getúlio Vargas, 59, Bloco 2 - São Sebastião, Alagoa Grande - PB, 58562-333",Alagoa Grande,PB,58562-333,Nenhuma,Mariana Carvalho Fernandes,Avó,197.420.537-50,(83) 99362-5176,2025260053,Contemplação direta,1500,Sim,1,3,Sim,38,Serviços domésticos,113,Transporte escolar,Apenas celular,Não,Médio,Sim,0.0,0.0,0.4,0.0,0.0,0.6,0.4,0.6,0.2,0.5,0.07923632837832258,70,Parda,Agreste,Levemente Afetado,Não,Inseguro,3,Segura,Tensão Moderada,Poucas
22,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Rodrigo Nunes Correia,M,16,129.284.379-99,(83) 99561-6062,"Rua Treze de Maio, 93 - Centro, Guarabira - PB, 58773-510",Guarabira,PB,58773-510,Nenhuma,Lucas Fernandes Nascimento,Avó,320.485.529-68,(83) 98698-3578,2025426775,Aguardando vaga,2500,Sim,1,2,Sim,39,Ajudante,82,Ônibus,Apenas celular,Não,Médio,Sim,0.0,0.0,0.4,0.9,0.1,0.0,0.0,0.3,0.8,0.1,0.0,70,Preta,Interior Semiárido,Não Afetado,Risco Baixo,Pouco Seguro,3,Segura,Tranquilo,Muitas
23,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Rafaela Carvalho Ferreira,F,15,489.645.820-39,(83) 99024-6802,"Rua das Trincheiras, 224, Bloco 2 - Castelo Branco, João Pessoa - PB, 58179-982",João Pessoa,PB,58179-982,Nenhuma,Débora Cardoso Carvalho,Pai,396.217.514-12,(83) 99978-6321,2025940247,Lista de espera,1668,Sim,3,"3, 14, 4",Sim,33,Informal,15,Transporte escolar,Sim (banda larga),Não,Baixo,Sim,0.0,0.0,0.0,0.0,0.0,0.3,0.1,0.6,0.2,0.3,0.1566790678525567,70,Preta,Urbano Litorâneo,Não Afetado,Risco Baixo,Seguro,4,Segura,Conflituoso,Muitas
24,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Patricia Melo Garcia,F,16,797.678.758-91,(83) 99279-6295,"Rua Treze de Maio, 226, Bloco 2 - Centro, Guarabira - PB, 58552-746",Guarabira,PB,58552-746,Visual leve,Eduardo Nascimento Oliveira,Avó,417.572.562-14,(83) 98116-7041,2025180458,Contemplação direta,5000,Sim,5,"17, 13, 15, 19, 18",Não,0,,89,Ônibus,Apenas celular,Não,Baixo,Sim,0.8,0.3,0.0,0.0,0.0,2.1,1.6,1.0,0.5,1.4,0.39943807681346416,70,Parda,Interior Semiárido,Muito Afetado,Risco Médio,Seguro,3,Segura,Tensão Moderada,Muitas
25,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Paulo Cardoso Cardoso,M,16,167.437.196-81,(83) 99389-7333,"Rua Rodrigues de Aquino, 171 - Castelo Branco, João Pessoa - PB, 58779-244",João Pessoa,PB,58779-244,Nenhuma,Sofia Barbosa Dias,Pai,186.417.672-58,(83) 99317-6381,2025802667,Aguardando vaga,751,Não,0,,Não,0,,111,A pé,Não,Sim,Médio,Sim,0.0,0.0,0.3,0.8,0.0,0.3,0.8,1.4,1.9,1.2,0.0,70,Indígena,Urbano Litorâneo,Não Afetado,Risco Baixo,Seguro,1,Grave Insegurança,Tranquilo,Muitas
26,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,José Dias Garcia,M,15,838.548.144-62,(83) 98746-4891,"Rua Principal, 386, Apt 101 - São José, Solânea - PB, 58646-344",Solânea,PB,58646-344,Dislexia,Rosa Lopes Alves,Avô,476.794.684-66,(83) 98945-5616,2025627335,Contemplação direta,724,Não,0,,Não,0,,113,Transporte escolar,Não,Sim,Médio,Sim,0.0,0.1,0.7,1.2,0.4,0.0,0.2,0.8,1.3,0.6,0.17756662006070345,71,Branca,Interior Semiárido,Não Afetado,Risco Baixo,Pouco Seguro,1,Grave Insegurança,Tranquilo,Poucas
27,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Manuela Silva Costa,F,15,959.831.765-52,(83) 99620-3392,"Av. Cruz das Armas, 470, Apt 101 - Jaguaribe, João Pessoa - PB, 58877-822",João Pessoa,PB,58877-822,Nenhuma,Francisco Oliveira Silva,Avô,362.320.955-29,(83) 99123-9647,2025216587,Aguardando vaga,690,Sim,2,"14, 20",Não,0,,126,Transporte escolar,Não,Não,Médio,Sim,1.7,1.2,0.6,0.1,0.9,0.7,0.2,0.0,0.0,0.0,0.1337321980416682,70,Preta,Urbano Litorâneo,Não Afetado,Não,Seguro,1,Grave Insegurança,Tranquilo,Moderadas
28,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Giovanna Fernandes Silva,F,16,907.169.453-40,(83) 99501-2698,"Rua Treze de Maio, 23 - Centro II, Guarabira - PB, 58446-933",Guarabira,PB,58446-933,Nenhuma,Débora Almeida Cardoso,Mãe,286.930.238-18,(83) 99466-8498,2025407696,Contemplação direta,2500,Não,0,,Não,0,,100,Van escolar,Apenas celular,Não,Médio,Sim,5.0,4.5,3.9,3.4,4.2,8.0,7.5,6.9,6.4,7.3,5.526881145761638,85,Branca,Interior Semiárido,Muito Afetado,Não,Pouco Seguro,3,Segura,Tranquilo,Moderadas
29,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Ricardo Barbosa Lopes,M,15,658.400.428-23,(83) 98163-6372,"Av. Presidente Vargas, 309, Bloco 2 - Nordeste, Guarabira - PB, 58270-806",Guarabira,PB,58270-806,Nenhuma,Daniel Marques Nunes,Mãe,461.729.545-45,(83) 99309-1939,2025803787,Contemplação direta,1036,Não,0,,Não,0,,115,Ônibus,Não,Não,Médio,Sim,7.0,6.5,5.9,5.4,6.2,9.6,9.1,8.5,8.0,8.9,7.3577497094300295,70,Parda,Interior Semiárido,Não Afetado,Risco Baixo,Inseguro,1,Grave Insegurança,Tensão Moderada,Moderadas
30,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",1º Ano,1A,Vera Araújo Souza,F,16,893.366.820-67,(83) 98439-5678,"Rua Getúlio Vargas, 63 - Centro, Areia - PB, 58562-276",Areia,PB,58562-276,Autismo leve,Carolina Ribeiro Dias,Pai,166.663.655-47,(83) 99825-5914,2025846385,Aguardando vaga,2000,Sim,3,"17, 8, 4",Não,0,,114,Transporte escolar,Sim (banda larga),Não,Médio,Sim,1.6,0.7,1.6,1.3,1.2,1.6,1.2,1.2,1.2,1.2,1.6024116820647742,70,Preta,Interior Semiárido,Não Afetado,Risco Baixo,Pouco Seguro,3,Segura,Tranquilo,Poucas
31,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Amanda Nunes Marques,F,16,951.227.630-29,(83) 98622-3697,"Rua Rodrigues de Aquino, 178 - Alto do Mateus, João Pessoa - PB, 58356-301",João Pessoa,PB,58356-301,Dislexia,Sofia Cardoso Gomes,Tia,729.646.195-74,(83) 99312-3762,2025708851,Contemplação direta,2000,Não,0,,Não,0,,25,Moto,Sim (banda larga),Não,Alto,Não,7.9,7.4,6.8,6.3,7.1,6.7,6.2,5.6,5.1,6.0,7.009577071901477,89,Branca,Urbano Litorâneo,Não Afetado,Risco Alto,Seguro,3,Leve Insegurança,Tranquilo,Moderadas
32,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Leonardo Barbosa Rodrigues,M,17,982.835.426-54,(83) 99997-7532,"Av. Cruz das Armas, 264, Casa A - Castelo Branco, João Pessoa - PB, 58347-577",João Pessoa,PB,58347-577,Nenhuma,Miguel Souza Santos,Pai,397.493.984-88,(83) 98856-5067,2025952993,Contemplação direta,2000,Sim,2,"16, 17",Sim,43,Serviços domésticos,8,Bicicleta,Sim (banda larga),Não,Médio,Não,0.0,0.5,0.3,0.7,0.3,0.0,0.2,0.3,0.4,0.0,0.0,70,Preta,Urbano Litorâneo,Não Afetado,Não,Pouco Seguro,4,Leve Insegurança,Tensão Moderada,Poucas
33,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Gustavo Nascimento Rocha,M,17,945.738.796-88,(83) 98243-3108,"Rua Assis Chateaubriand, 407 - Cepilho, Areia - PB, 58474-873",Areia,PB,58474-873,Nenhuma,Amanda Santos Santos,Tia,139.240.830-52,(83) 99646-8761,2025579187,Contemplação direta,2500,Sim,5,"11, 6, 13, 20, 10",Não,0,,104,Carona,Apenas celular,Não,Baixo,Sim,1.0,0.5,1.4,1.1,0.9,0.2,0.0,0.2,0.0,0.0,0.3988273760171633,70,Preta,Interior Semiárido,Muito Afetado,Não,Pouco Seguro,3,Segura,Conflituoso,Moderadas
34,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Pedro Melo Dias,M,16,295.119.551-50,(83) 98857-3481,"Rua Rodrigues de Aquino, 211 - Jaguaribe, João Pessoa - PB, 58822-241",João Pessoa,PB,58822-241,Nenhuma,Carolina Almeida Nascimento,Avó,485.421.277-68,(83) 99868-9734,2025672808,Contemplação direta,2500,Não,0,,Não,0,,21,Moto,Apenas celular,Não,Baixo,Sim,5.2,6.2,5.6,6.1,5.7,5.6,5.4,5.6,5.7,5.3,5.634289132744674,86,Branca,Urbano Litorâneo,Não Afetado,Risco Baixo,Pouco Seguro,3,Segura,Tensão Moderada,Poucas
35,ECIT João Goulart,"R. Cônego Francisco Lima, SN - Castelo Branco, João Pessoa - PB, 58057-034",2º Ano,2A,Ana Gomes Dias,F,16,454.552.771-42,(83) 99530-8849,"Av. Cruz das Armas, 478, Apt 101 - Alto do Mateus, João Pessoa - PB, 58211-730",João Pessoa,PB,58211-730,Nenhuma,Vinicius Moreira Nascimento,Avó,331.753.338-16,(83) 98205-7771,2025852204,Contemplação direta,2000,Sim,5,"6, 14, 16, 16, 7",Não,0,,23,Ônibus,Apenas celular,Não,Baixo,Sim,4.3,4.4,4.0,4.4,4.1,4.6,5.0,4.5,4.8,5.0,4.53923504574482,91,Branca,Urbano Litorâneo,Levemente Afetado,Risco Baixo,Pouco Seguro,3,Segura,Tranquilo,Muitas
